Product,Per,Quantity
Agua Mineral,Unit,2
Agua Natural,Unit,2
Cerveza Cayaco ,Unit,1
Cerveza Colimita ,Unit,1
Kutzi/Dulce,Unit,1
Azucar,Unit,1
Café Chiapas,Unit,1
Café Decaf,Unit,1
Café Oaxaca,Unit,1
Café Verazcruz,Unit,1
Café Dolce Gusto,Unit,1
Te Verde,Unit,1
Te Blanco,Unit,1
Te Tizana,Unit,1
Te Herbal,Unit,1
Aceite PAM,Unit,0.33
Pimienta,Unit,0.33
Miel ,Unit,0.33
Sal,Unit,0.33
Servilletas,Unit,0.33
Servitoalla,Unit,0.66
Antifaz ,Bedroom,1
Cepillo Dientes,Bedroom,1
Pasta  de dientes,Bedroom,1
Toalla Femenina,Bathroom,0.33
Tampones,Bathroom,0.33
Toalla Desmaquillante,Bathroom,0.33
Ear Plugs,Bedroom,1
Cotonetes,Bathroom,0.33
Kit ajolote ,Bedroom,1
Crema Ajolote,Bedroom,1
Papel Baño,Bathroom,1
Kleenex,Bathroom,1
Bolsas para basura,Unit,5
Algodones,Bathroom,1